,titulo,provincia,localidad,distrito,tipovivienda,precio,metros,habitaciones,baños,planta,ascensor,exterior,equipada,amueblada,orientacion,anyoconstruccion,garaje,terraza,calefaccion,aireacondicionado,created_at,updated_at
0,"Alquiler de Ático en calle de Embajadores, 296",Madrid,Legazpi Madrid,arganzuela,Ático,3200,107,4.0,3.0,6.0,1.0,1.0,1,1,,,0,1,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
1,Alquiler de Piso en calle de las Nebulosas,Madrid,Delicias Madrid,arganzuela,Piso,1340,75,2.0,2.0,1.0,1.0,1.0,1,1,,2014.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
2,Alquiler de Piso en calle de las Delicias,Madrid,Palos de Moguer Madrid,arganzuela,Piso,975,60,2.0,1.0,0.0,1.0,1.0,1,1,,1935.0,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
3,Alquiler de Piso en Delicias,Madrid,Arganzuela Madrid,arganzuela,Piso,800,60,1.0,1.0,3.0,0.0,0.0,1,0,oeste,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
4,"Alquiler de Piso en Fernando Poo, 23",Madrid,Chopera Madrid,arganzuela,Piso,1400,84,3.0,1.0,2.0,1.0,1.0,1,1,norte,1968.0,0,1,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
5,"Alquiler de Piso en paseo de las Delicias, 93",Madrid,Delicias Madrid,arganzuela,Piso,850,45,1.0,1.0,1.0,1.0,1.0,1,1,oeste,,0,0,central,0,2023-06-03 09:29:50,2023-06-03 09:29:50
6,"Alquiler de Estudio en calle de Palos de la Frontera, 16",Madrid,Palos de Moguer Madrid,arganzuela,Estudio,899,42,,1.0,1.0,1.0,1.0,1,0,,,1,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
7,"Alquiler de Estudio en calle de Ciudad Real, 9",Madrid,Delicias Madrid,arganzuela,Estudio,790,45,,1.0,3.0,1.0,0.0,1,1,,,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
8,Alquiler de Ático en Delicias,Madrid,Arganzuela Madrid,arganzuela,Ático,2200,132,3.0,2.0,6.0,1.0,1.0,1,0,"norte, este",1997.0,1,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
9,Alquiler de Estudio en calle de Segovia,Madrid,Imperial Madrid,arganzuela,Estudio,800,50,,1.0,1.0,1.0,1.0,1,0,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
10,"Alquiler de Piso en calle de Alejandro Saint Aubin, 5",Madrid,Chopera Madrid,arganzuela,Piso,975,55,1.0,1.0,0.0,1.0,0.0,1,1,este,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
11,"Alquiler de Piso en paseo del Doctor Vallejo - Nájera, 48",Madrid,Imperial Madrid,arganzuela,Piso,1550,70,2.0,1.0,8.0,1.0,1.0,1,0,"sur, este",,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
12,"Alquiler de Piso en calle del Bronce, 52",Madrid,Legazpi Madrid,arganzuela,Piso,2300,130,3.0,2.0,2.0,1.0,1.0,1,0,este,,1,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
13,Alquiler de Piso en calle de la Antracita,Madrid,Legazpi Madrid,arganzuela,Piso,1030,62,1.0,1.0,2.0,1.0,1.0,1,0,,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
14,Alquiler de Piso en Palos de Moguer,Madrid,Arganzuela Madrid,arganzuela,Piso,930,61,2.0,1.0,3.0,1.0,0.0,0,0,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
15,Alquiler de Piso en leganes,Madrid,Delicias Madrid,arganzuela,Piso,1695,91,2.0,2.0,8.0,1.0,1.0,1,0,"sur, este",,1,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
16,"Alquiler de Piso en calle de Cobos de Segovia, 8",Madrid,Imperial Madrid,arganzuela,Piso,980,60,1.0,1.0,1.0,1.0,1.0,1,1,,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
17,Alquiler de Piso en calle del Mezquite,Madrid,Delicias Madrid,arganzuela,Piso,1429,87,2.0,2.0,1.0,1.0,1.0,1,0,,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
18,"Alquiler de Piso en calle Estrella Denébola, 18",Madrid,Delicias Madrid,arganzuela,Piso,1200,63,1.0,1.0,5.0,1.0,1.0,1,1,oeste,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
19,"Alquiler de Piso en paseo de los Melancólicos, 18",Madrid,Imperial Madrid,arganzuela,Piso,983,70,2.0,1.0,3.0,1.0,0.0,1,0,este,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
20,"Alquiler de Piso en Jaime el Conquistador, 38",Madrid,Chopera Madrid,arganzuela,Piso,800,57,1.0,1.0,3.0,1.0,1.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
21,"Alquiler de Piso en calle de José Antonio de Armona, 12",Madrid,Palos de Moguer Madrid,arganzuela,Piso,1400,90,3.0,1.0,3.0,1.0,1.0,1,1,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
22,"Alquiler de Piso en calle Ariel, 4",Madrid,Legazpi Madrid,arganzuela,Piso,1375,96,2.0,2.0,6.0,1.0,1.0,1,0,,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
23,"Alquiler de Piso en calle de Vara de Rey, 4",Madrid,Palos de Moguer Madrid,arganzuela,Piso,1450,126,2.0,2.0,0.0,1.0,1.0,1,0,"norte, este",2022.0,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
24,"Alquiler de Piso en paseo De La Esperanza, 22",Madrid,Acacias Madrid,arganzuela,Piso,950,53,2.0,1.0,2.0,1.0,1.0,1,0,,,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
25,"Alquiler de Dúplex en calle de Vara de Rey, 4",Madrid,Palos de Moguer Madrid,arganzuela,Dúplex,1350,65,2.0,2.0,4.0,1.0,1.0,1,0,este,2021.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
26,Alquiler de Piso en calle del Laurel,Madrid,Acacias Madrid,arganzuela,Piso,1200,65,1.0,1.0,0.0,0.0,1.0,1,1,este,,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
27,"Alquiler de Piso en paseo de la Esperanza, 22",Madrid,Acacias Madrid,arganzuela,Piso,925,63,2.0,1.0,1.0,1.0,1.0,1,0,,,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
